Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Corresponding Loading
8;9;0.000;φ_Z;0.0;0.0;0.0;0.0;-3.9;-0.6;0.0;CO1
Total;;;;9.8;1.0;9.7;0.2;5.4;0.7;0.0;
8;;;;0.0;-0.6;-6.4;0.0;-3.9;-0.6;0.0;
;;;;;;;;;;;
9;10;0.000;max;0.0;0.0;0.0;0.0;4.1;0.0;0.0;
9;10;0.000;min;0.0;0.0;0.0;0.0;-3.5;-0.5;0.0;
9;10;0.000;max;0.0;0.0;0.0;0.0;4.1;0.0;0.0;
9;10;0.000;min;0.0;0.0;0.0;0.0;-3.5;-0.5;0.0;
9;;1.738;max;5.9;0.6;5.9;0.1;2.0;0.0;0.0;
9;;1.738;min;4.7;-0.1;-4.7;0.0;-1.4;-0.1;0.0;
9;;2.238;max;6.6;0.7;6.6;0.1;1.0;0.1;0.0;
9;;2.238;min;4.9;-0.1;-4.9;0.0;-1.0;-0.1;0.0;
9;5;4.500;max;4.8;0.5;4.8;0.1;3.1;0.6;0.0;
9;5;4.500;min;4.5;-0.6;-4.5;0.1;-1.7;-0.1;0.0;
9;5;4.500;max;4.8;0.5;4.8;0.1;3.1;0.6;0.0;
9;5;4.500;min;4.5;-0.6;-4.5;0.1;-1.7;-0.1;0.0;
Extremes;;2.238;u_X;6.6;0.7;6.6;0.1;1.0;0.1;0.0;CO6
9;5;4.500;u_X;4.5;-0.6;-4.5;0.1;-1.7;-0.1;0.0;CO15
9;;2.500;u_Y;6.8;0.7;6.8;0.1;0.6;0.2;0.0;CO16
9;;2.238;u_Y;4.9;-0.1;-4.9;0.0;-1.0;-0.1;0.0;CO15
9;5;4.500;u_Z;4.8;0.5;4.8;0.1;3.1;0.6;0.0;CO6
9;10;0.000;u_Z;0.0;0.0;0.0;0.0;-3.5;-0.5;0.0;CO1
9;10;0.000;φ_X;0.0;0.0;0.0;0.0;4.1;0.0;0.0;CO16
9;10;0.000;φ_X;0.0;0.0;0.0;0.0;-3.5;-0.5;0.0;CO15
9;5;4.500;φ_Y;4.8;0.5;4.8;0.1;3.1;0.6;0.0;CO5
9;10;0.000;φ_Y;0.0;0.0;0.0;0.0;-3.5;-0.5;0.0;CO6
9;10;0.000;φ_Z;0.0;0.0;0.0;0.0;4.1;0.0;0.0;CO1
9;10;0.000;φ_Z;0.0;0.0;0.0;0.0;-3.5;-0.5;0.0;CO1
Total;;;;6.8;0.7;6.8;0.1;4.1;0.6;0.0;
9;;;;0.0;-0.6;-4.9;0.0;-3.5;-0.5;0.0;
;;;;;;;;;;;
10;11;0.000;max;0.0;0.0;0.0;0.0;0.5;3.2;0.0;
10;11;0.000;min;0.0;0.0;0.0;0.0;-0.4;-0.1;0.0;
10;11;0.000;max;0.0;0.0;0.0;0.0;0.5;3.2;0.0;
10;11;0.000;min;0.0;0.0;0.0;0.0;-0.4;-0.1;0.0;
10;;1.500;max;0.8;0.2;0.7;0.1;0.5;2.5;0.2;
10;;1.500;min;4.8;-4.7;-0.6;0.0;-0.4;-0.3;-0.3;
10;;1.500;max;0.8;0.2;0.7;0.1;0.5;2.5;0.2;
10;;1.500;min;4.8;-4.7;-0.6;0.0;-0.4;-0.3;-0.3;
10;12;4.000;max;3.3;2.5;2.1;0.2;0.6;-0.3;0.6;
10;12;4.000;min;7.5;-7.3;-1.8;0.1;-0.9;-2.9;-0.7;
10;12;4.000;max;3.3;2.5;2.1;0.2;0.6;-0.3;0.6;
10;12;4.000;min;7.5;-7.3;-1.8;0.1;-0.9;-2.9;-0.7;
Extremes;12;4.000;u_X;3.3;2.5;2.1;0.2;0.6;-0.3;0.6;CO12
10;;3.500;u_X;7.7;-7.5;-1.5;0.1;-0.8;-1.7;-0.6;CO15
10;12;4.000;u_Y;3.3;2.5;2.1;0.2;0.6;-0.3;0.6;CO16
10;12;4.000;u_Y;7.5;-7.3;-1.8;0.1;-0.9;-2.9;-0.7;CO18
10;12;4.000;u_Z;3.3;2.5;2.1;0.2;0.6;-0.3;0.6;CO8
10;11;0.000;u_Z;0.0;0.0;0.0;0.0;-0.4;-0.1;0.0;CO1
10;12;4.000;φ_X;3.3;2.5;2.1;0.2;0.6;-0.3;0.6;CO16
10;12;4.000;φ_X;7.5;-7.3;-1.8;0.1;-0.9;-2.9;-0.7;CO19
10;11;0.000;φ_Y;0.0;0.0;0.0;0.0;0.5;3.2;0.0;CO5
10;12;4.000;φ_Y;7.5;-7.3;-1.8;0.1;-0.9;-2.9;-0.7;CO7
10;12;4.000;φ_Z;3.3;2.5;2.1;0.2;0.6;-0.3;0.6;CO16
10;12;4.000;φ_Z;7.5;-7.3;-1.8;0.1;-0.9;-2.9;-0.7;CO18
Total;;;;7.7;2.5;2.1;0.2;0.6;3.2;0.6;
10;;;;0.0;-7.5;-1.8;0.0;-0.9;-2.9;-0.7;
