Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Corresponding Loading
1;Obergurt;;;;;;;;;;
1;3;;0.647;M_T;-3.64;-1.53;3.76;0.04;-1.84;-0.85;CO36
1;3;;0.647;M_T;2.15;1.19;3.91;-0.04;-2.29;0.50;CO35
1;3;;0.647;M_y;-3.25;-1.53;2.20;0.04;-1.02;-0.85;CO31
1;3;;0.647;M_y;0.42;0.72;5.43;-0.02;-2.99;0.31;CO25
1;3;;0.647;M_z;2.15;1.19;3.91;-0.04;-2.29;0.50;CO35
1;3;;0.647;M_z;-3.25;-1.53;2.20;0.04;-1.02;-0.85;CO31
1;3;;0.787;N;2.25;1.13;2.33;-0.04;-1.17;0.34;CO30
1;3;;0.787;N;-3.64;-1.47;3.72;0.04;-1.32;-0.64;CO36
1;3;;0.787;V_y;2.15;1.14;3.88;-0.04;-1.75;0.34;CO35
1;3;;0.787;V_y;-3.24;-1.47;2.16;0.04;-0.71;-0.64;CO31
1;3;;0.787;V_z;-2.81;-0.50;5.40;0.01;-2.22;-0.19;CO24
1;3;;0.787;V_z;-3.24;-1.47;2.16;0.04;-0.71;-0.64;CO31
1;3;;0.787;M_T;-3.64;-1.47;3.72;0.04;-1.32;-0.64;CO36
1;3;;0.787;M_T;2.15;1.14;3.88;-0.04;-1.75;0.34;CO35
1;3;;0.787;M_y;-3.24;-1.47;2.16;0.04;-0.71;-0.64;CO31
1;3;;0.787;M_y;0.42;0.69;5.40;-0.02;-2.23;0.21;CO25
1;3;;0.787;M_z;2.15;1.14;3.88;-0.04;-1.75;0.34;CO35
1;3;;0.787;M_z;-3.24;-1.47;2.16;0.04;-0.71;-0.64;CO31
1;3;;0.787;N;2.25;1.13;2.33;-0.04;-1.17;0.34;CO30
