Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
3;17;19;0.000;M_y;-77.07;-0.21;77.96;-0.04;-246.61;-0.18;Beam | 1 - IPE 500 | L : 1.650 m
3;18;;0.787;M_z;-77.35;-0.04;31.97;0.03;89.63;0.88;Beam | 1 - IPE 500 | L : 1.575 m
3;19;21;0.000;M_z;-73.67;-0.41;6.98;-0.03;144.51;-0.37;Beam | 1 - IPE 500 | L : 0.150 m
Total;;;;;-72.61;0.45;77.96;0.10;145.77;0.88;
3;;;;;-77.42;-0.47;-77.57;-0.11;-246.61;-0.37;
;;;;;;;;;;;
4;Obergurt;;;;;;;;;;
4;23;26;0.000;;-65.91;-0.20;78.48;-0.03;-249.78;-0.19;Beam | 1 - IPE 500 | L : 1.650 m
4;23;55;1.650;;-65.48;-0.43;76.67;-0.09;-121.74;-0.24;Beam | 1 - IPE 500 | L : 1.650 m
4;91;55;0.000;;-64.28;-0.31;64.00;-0.06;-122.20;-0.24;Beam | 1 - IPE 500 | L : 1.650 m
4;91;57;1.650;;-64.02;-0.46;62.06;-0.10;-18.17;0.22;Beam | 1 - IPE 500 | L : 1.650 m
4;94;57;0.000;;-62.84;-0.31;49.39;-0.08;-18.63;0.22;Beam | 1 - IPE 500 | L : 1.650 m
4;94;58;1.650;;-62.67;-0.38;47.36;-0.09;61.21;0.83;Beam | 1 - IPE 500 | L : 1.650 m
4;96;58;0.000;;-61.48;0.07;34.70;0.04;60.75;0.83;Beam | 1 - IPE 500 | L : 0.075 m
4;96;27;0.075;;-61.47;0.07;34.60;0.04;63.35;0.82;Beam | 1 - IPE 500 | L : 0.075 m
4;24;27;0.000;;-61.43;-0.09;34.14;0.04;63.35;0.82;Beam | 1 - IPE 500 | L : 1.575 m
4;24;59;1.575;;-61.30;-0.04;32.14;0.03;115.56;0.84;Beam | 1 - IPE 500 | L : 1.575 m
4;98;59;0.000;;-60.09;0.10;19.47;0.05;115.09;0.84;Beam | 1 - IPE 500 | L : 1.650 m
4;98;60;1.650;;-59.94;0.13;17.33;0.04;145.46;0.47;Beam | 1 - IPE 500 | L : 1.650 m
4;100;60;0.000;;-58.70;0.24;4.67;0.05;145.00;0.47;Beam | 1 - IPE 500 | L : 1.650 m
4;100;63;1.650;;-58.51;0.24;2.52;0.01;150.93;-0.16;Beam | 1 - IPE 500 | L : 1.650 m
4;120;63;0.000;;-57.75;0.32;-5.15;0.03;150.65;-0.16;Beam | 1 - IPE 500 | L : 0.150 m
4;120;28;0.150;;-57.73;0.32;-5.34;0.03;149.86;-0.24;Beam | 1 - IPE 500 | L : 0.150 m
4;25;28;0.000;;-57.69;-0.32;5.73;-0.02;149.86;-0.24;Beam | 1 - IPE 500 | L : 0.150 m
4;25;76;0.150;;-57.71;-0.32;5.53;-0.03;150.70;-0.16;Beam | 1 - IPE 500 | L : 0.150 m
4;122;76;0.000;;-58.48;-0.24;-2.13;-0.01;150.60;-0.17;Beam | 1 - IPE 500 | L : 1.650 m
4;122;74;1.650;;-58.67;-0.24;-4.28;-0.04;145.31;0.46;Beam | 1 - IPE 500 | L : 1.650 m
4;109;74;0.000;;-59.90;-0.14;-16.95;-0.03;145.14;0.46;Beam | 1 - IPE 500 | L : 1.650 m
4;109;73;1.650;;-60.05;-0.11;-19.08;-0.05;115.41;0.83;Beam | 1 - IPE 500 | L : 1.650 m
4;110;73;0.000;;-61.26;0.03;-31.75;-0.03;115.24;0.83;Beam | 1 - IPE 500 | L : 1.575 m
