Member No.;Line;;;Rotation;Section;;;Hinge;;Eccentricity;;Length;Volume;Mass;;;
;No.;Member Type;Section Distribution;β [deg] / Node No.;Start i;End j;Internal k;Start i;End j;Start i;End j;L [m];V [m^3 ];M [t];Position;Options;Comment
187;187;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
188;188;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.65000071892954;0.005184302258877;0.040696772732181;In XZ;;
189;189;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.649999624388443;0.005184298819828;0.040696745735654;In XZ;;
190;190;Beam;Uniform;0.00;3;3;3;--;--;1;2;0.074937842856597;0.000235454702255;0.001848319412705;In XZ;;
191;191;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.649999723892402;0.00518429913247;0.040696748189889;In XZ;;
192;192;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.649999723892402;0.00518429913247;0.040696748189889;In XZ;;
193;193;Beam;Uniform;0.00;3;3;3;--;--;1;2;0.150000164883242;0.000471300518063;0.003699709066796;In XZ;;
194;194;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.649999723892402;0.00518429913247;0.040696748189889;In XZ;;
195;195;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.649999723892402;0.00518429913247;0.040696748189889;In XZ;;
196;196;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.574938197915397;0.00494845581785;0.038845378170124;In XZ;;
197;197;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.649999624388443;0.005184298819828;0.040696745735654;In XZ;;
198;198;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.650000718929539;0.005184302258877;0.040696772732181;In XZ;;
199;199;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.649999624388443;0.005184298819828;0.040696745735654;In XZ;;
200;200;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.00000000000002;0.004275;0.03355875;|| Y;;
201;201;Beam;Uniform;5.71;4;4;4;2;3;3;4;5;0.004275;0.03355875;|| Y;;
202;202;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000056;0.004275;0.03355875;|| Y;;
203;203;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000036;0.004275;0.03355875;|| Y;;
204;204;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000092;0.004275;0.033558750000001;|| Y;;
205;205;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000286;0.004275;0.033558750000002;|| Y;;
206;206;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.00000000000002;0.004275;0.03355875;|| Y;;
207;207;Beam;Uniform;5.71;4;4;4;3;2;3;4;5;0.004275;0.03355875;|| Y;;
208;208;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000056;0.004275;0.03355875;|| Y;;
209;209;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000036;0.004275;0.03355875;|| Y;;
210;210;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000092;0.004275;0.033558750000001;|| Y;;
211;211;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000286;0.004275;0.033558750000002;|| Y;;
212;212;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000672;0.004275000000001;0.033558750000005;|| Y;;
213;213;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000672;0.004275000000001;0.033558750000005;|| Y;;
214;214;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.65000071892954;0.005184302258877;0.040696772732181;|| XZ;;
215;215;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.649999624388443;0.005184298819828;0.040696745735654;|| XZ;;
216;216;Beam;Uniform;0.00;3;3;3;--;--;1;2;0.074937842856597;0.000235454702255;0.001848319412705;|| XZ;;
217;217;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.649999723892402;0.00518429913247;0.040696748189889;|| XZ;;
218;218;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.649999723892402;0.00518429913247;0.040696748189889;|| XZ;;
219;219;Beam;Uniform;0.00;3;3;3;--;--;1;2;0.150000164883242;0.000471300518063;0.003699709066796;|| XZ;;
220;220;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.649999723892402;0.00518429913247;0.040696748189889;|| XZ;;
221;221;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.649999723892402;0.00518429913247;0.040696748189889;|| XZ;;
222;222;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.574938197915397;0.00494845581785;0.038845378170124;|| XZ;;
223;223;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.649999624388443;0.005184298819828;0.040696745735654;|| XZ;;
224;224;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.650000718929539;0.005184302258877;0.040696772732181;|| XZ;;
225;225;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.649999624388443;0.005184298819828;0.040696745735654;|| XZ;;
