Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Section (Material) | Member Comment
9;;2.500;u_z;4.5;0.0;0.3;-4.4;0.0;0.3;-0.1;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;φ_y;3.1;-0.1;-0.1;-3.1;0.0;-1.1;-0.3;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;φ_z;3.1;-0.1;-0.1;-3.1;0.0;-1.1;-0.3;Beam | 2 - HEA 160 | L : 4.500 m
Total;;;;4.5;0.0;0.3;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
9;;;;0.0;-0.1;-0.1;-4.4;0.0;-1.1;-0.3;Beam | 2 - HEA 160 | L : 4.500 m
;;;;;;;;;;;
10;11;0.000;;0.0;0.0;0.0;0.0;0.0;1.3;0.3;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;;0.0;0.0;0.0;0.0;0.0;1.3;0.3;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.500;;1.9;0.0;0.5;-1.8;-0.1;0.9;0.3;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.500;;1.9;0.0;0.5;-1.8;-0.1;0.9;0.3;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;;2.3;-0.1;1.3;-1.9;-0.4;-1.3;0.4;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;;2.3;-0.1;1.3;-1.9;-0.4;-1.3;0.4;Beam | 1 - IPE 500 | L : 4.000 m
Extremes;11;0.000;u_x;0.0;0.0;0.0;0.0;0.0;1.3;0.3;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;u_x;2.3;-0.1;1.3;-1.9;-0.4;-1.3;0.4;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;u_y;2.3;-0.1;1.3;-1.9;-0.4;-1.3;0.4;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;u_y;0.0;0.0;0.0;0.0;0.0;1.3;0.3;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;u_z;0.0;0.0;0.0;0.0;0.0;1.3;0.3;Beam | 1 - IPE 500 | L : 4.000 m
10;;3.000;u_z;2.7;-0.1;1.0;-2.5;-0.3;-0.2;0.4;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;1.3;0.3;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;φ_x;2.3;-0.1;1.3;-1.9;-0.4;-1.3;0.4;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;1.3;0.3;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;φ_y;2.3;-0.1;1.3;-1.9;-0.4;-1.3;0.4;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;φ_z;2.3;-0.1;1.3;-1.9;-0.4;-1.3;0.4;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;1.3;0.3;Beam | 1 - IPE 500 | L : 4.000 m
Total;;;;2.7;0.0;1.3;0.0;0.0;1.3;0.4;Beam | 1 - IPE 500 | L : 4.000 m
10;;;;0.0;-0.1;0.0;-2.5;-0.4;-1.3;0.3;Beam | 1 - IPE 500 | L : 4.000 m
;;;;;;;;;;;
