Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Corresponding Loading
10;12;4.000;u_x;5.1;-0.1;-1.1;-5.0;-0.4;-2.0;-0.6;CO27
10;12;4.000;u_y;2.0;-0.1;1.3;1.5;0.5;-0.3;0.4;CO35
10;12;4.000;u_y;5.1;-0.1;-1.1;-5.0;-0.4;-2.0;-0.6;CO37
10;12;4.000;u_z;2.0;-0.1;1.3;1.5;0.5;-0.3;0.4;CO31
10;;3.500;u_z;5.2;-0.1;-1.0;-5.2;-0.3;-1.2;-0.5;CO34
10;12;4.000;φ_x;2.0;-0.1;1.3;1.5;0.5;-0.3;0.4;CO37
10;12;4.000;φ_x;5.1;-0.1;-1.1;-5.0;-0.4;-2.0;-0.6;CO35
10;11;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;2.2;0.3;CO24
10;12;4.000;φ_y;5.1;-0.1;-1.1;-5.0;-0.4;-2.0;-0.6;CO26
10;12;4.000;φ_z;2.0;-0.1;1.3;1.5;0.5;-0.3;0.4;CO35
10;12;4.000;φ_z;5.1;-0.1;-1.1;-5.0;-0.4;-2.0;-0.6;CO38
Total;;;;5.2;0.0;1.3;1.5;0.5;2.2;0.4;
10;;;;0.0;-0.1;-1.1;-5.2;-0.4;-2.0;-0.6;
;;;;;;;;;;;
11;12;0.000;max;2.0;1.5;1.3;0.2;0.3;-0.3;0.4;
11;12;0.000;min;5.1;-5.0;-1.1;-0.4;-0.5;-2.0;-0.5;
11;;0.825;max;3.2;1.5;1.7;2.2;2.0;-1.0;0.4;
11;;0.825;min;5.2;-5.0;-1.5;0.3;-2.6;-3.2;-0.5;
11;;0.825;max;3.2;1.5;1.7;2.2;2.0;-1.0;0.4;
11;;0.825;min;5.2;-5.0;-1.5;0.3;-2.6;-3.2;-0.5;
11;;1.005;max;3.7;1.5;1.8;2.9;2.4;-1.2;0.4;
11;;1.005;min;5.3;-5.0;-1.6;0.5;-3.0;-3.4;-0.5;
11;111;1.650;max;5.9;1.5;2.0;5.3;3.7;-1.5;0.4;
11;111;1.650;min;5.5;-5.0;-1.9;1.4;-4.6;-4.0;-0.4;
Extremes;12;0.000;u_x;2.0;1.5;1.3;0.2;0.3;-0.3;0.4;CO31
11;111;1.650;u_x;5.5;-5.0;-1.9;1.4;-4.6;-4.0;-0.4;CO34
11;111;1.650;u_y;5.9;1.5;2.0;5.3;3.7;-1.5;0.4;CO35
11;111;1.650;u_y;5.5;-5.0;-1.9;1.4;-4.6;-4.0;-0.4;CO37
11;111;1.650;u_z;5.9;1.5;2.0;5.3;3.7;-1.5;0.4;CO26
11;12;0.000;u_z;5.1;-5.0;-1.1;-0.4;-0.5;-2.0;-0.5;CO34
11;111;1.650;φ_x;5.9;1.5;2.0;5.3;3.7;-1.5;0.4;CO35
11;111;1.650;φ_x;5.5;-5.0;-1.9;1.4;-4.6;-4.0;-0.4;CO38
11;12;0.000;φ_y;2.0;1.5;1.3;0.2;0.3;-0.3;0.4;CO29
