FE Node No.;Coordinates;;;
;X [m];Y [m];Z [m];
761;20;18.5;-4;
762;20;18;-4;
763;20;17.5;-4;
764;20;17;-4;
765;20;16.5;-4;
766;20;16;-4;
767;20;15.5;-4;
768;5.3917805;0;-4.53917825;
769;16.716377201339988;19.5;-4.328362349866002;
770;16.71637717896888;19;-4.328362422103112;
771;16.71637715659777;18.5;-4.328362494340223;
772;16.71637713422666;18;-4.328362566577334;
773;16.71637711185555;17.5;-4.328362638814445;
774;16.71637708948444;17;-4.328362711051557;
775;16.71637706711333;16.5;-4.328362783288667;
776;16.71637704474222;16;-4.328362855525779;
777;16.716377022371113;15.5;-4.328362927762889;
778;6.1753415;0;-4.61753475;
779;15.07456590374923;19.5;-4.492543469625077;
780;15.07456591444376;19;-4.492543528555625;
781;15.074565925138293;18.5;-4.492543587486171;
782;15.07456593583282;18;-4.492543646416718;
783;15.07456594652735;17.5;-4.492543705347265;
784;15.07456595722188;17;-4.492543764277812;
785;15.07456596791641;16.5;-4.492543823208359;
786;15.074565978610941;16;-4.492543882138906;
787;15.074565989305473;15.5;-4.492543941069453;
788;5.783561000000002;0;-4.5783565;
789;13.4328784177296;19.5;-4.65671223822704;
790;13.4328783713152;19;-4.65671232286848;
791;13.4328783249008;18.5;-4.65671240750992;
792;13.4328782784864;18;-4.65671249215136;
793;13.432878232072;17.5;-4.6567125767928;
794;13.4328781856576;17;-4.65671266143424;
795;13.4328781392432;16.5;-4.65671274607568;
796;13.432878092828801;16;-4.65671283071712;
797;13.4328780464144;15.5;-4.65671291535856;
798;6.37123175;0;-4.637123875;
799;5.58767075;0;-4.558767375;
800;11.79106689053255;19.5;-4.820893480946746;
801;11.7910669026956;19;-4.82089364973044;
802;11.79106691485865;18.5;-4.820893818514136;
803;11.791066927021703;18;-4.82089398729783;
804;11.79106693918475;17.5;-4.820894156081526;
805;11.7910669513478;17;-4.82089432486522;
806;11.79106696351085;16.5;-4.820894493648916;
807;11.7910669756739;16;-4.82089466243261;
808;11.79106698783695;15.5;-4.820894831216306;
809;10.018657;0;-4.998134625;
810;0;10.5;-4;
811;0;11;-4;
812;0;11.5;-4;
813;0;12;-4;
814;0;12.5;-4;
815;0;13;-4;
816;0;13.5;-4;
817;0;14;-4;
818;0;14.5;-4;
819;11.996293375;15;-4.800372250000002;
820;12.20151975;15;-4.7798495;
821;12.406746125;15;-4.75932675;
822;12.6119725;15;-4.738804;
823;12.817198875;15;-4.71828125;
824;13.022425250000001;15;-4.6977585;
825;13.227651625;15;-4.67723575;
826;13.62876825;15;-4.637123875;
827;13.8246585;15;-4.61753475;
828;14.02054875;15;-4.597945625;
829;14.216439000000001;15;-4.5783565;
830;14.41232925;15;-4.558767375;
831;14.6082195;15;-4.53917825;
832;14.80410975;15;-4.519589125;
833;15.279792375000001;15;-4.472021375;
834;15.485018750000002;15;-4.45149875;
835;15.690245125;15;-4.430976125;
836;15.895471500000003;15;-4.4104535;
837;16.100697875;15;-4.389930875;
838;16.30592425;15;-4.36940825;
839;16.511150625000003;15;-4.348885625000001;
840;16.9216035;15;-4.30784025;
841;17.12683;15;-4.287317500000001;
842;17.3320565;15;-4.266794750000001;
843;17.537283000000002;15;-4.246272000000001;
844;17.7425095;15;-4.22574925;
845;17.947736;15;-4.2052265;
846;18.1529625;15;-4.184703750000001;
847;18.563415375;15;-4.143658375;
848;18.76864175;15;-4.123135750000001;
849;18.973868125;15;-4.102613125000001;
850;19.179094499999994;15;-4.0820905;
851;19.384320875;15;-4.061567875;
852;19.58954725;15;-4.04104525;
853;19.794773625;15;-4.020522625;
854;11.996293326591314;20;-4.80037066734087;
855;12.201519774813123;20;-4.779848022518688;
856;12.406746223034938;20;-4.759325377696508;
857;12.611972671256751;20;-4.738802732874326;
858;12.817199119478563;20;-4.718280088052144;
859;13.022425567700376;20;-4.697757443229962;
860;13.227652015922189;20;-4.677234798407782;
861;13.628768656126;20;-4.6371231343874;
862;13.824658848108003;20;-4.6175341151892;
863;14.02054904009;20;-4.597945095991;
864;14.216439232072;20;-4.5783560767928;
865;14.412329424054;20;-4.5587670575946;
866;14.608219616036;20;-4.5391780383964;
867;14.804109808018;20;-4.5195890191982;
868;15.27979230938675;20;-4.472020769061326;
869;15.4850187257188;20;-4.451498127428121;
870;15.69024514205085;20;-4.430975485794916;
871;15.8954715583829;20;-4.410452844161711;
872;16.10069797471495;20;-4.389930202528505;
873;16.305924391047;20;-4.3694075608953;
874;16.51115080737905;20;-4.348884919262095;
875;16.921603642879763;20;-4.307839635712024;
876;17.126830062048423;20;-4.287316993795157;
877;17.332056481217087;20;-4.266794351878291;
878;17.537282900385748;20;-4.246271709961425;
879;17.74250931955441;20;-4.225749068044559;
880;17.947735738723075;20;-4.205226426127693;
881;18.152962157891736;20;-4.184703784210826;
882;18.56341500492785;20;-4.143658499507215;
883;18.7686414327953;20;-4.12313585672047;
