Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Section (Material) | Member Comment
9;;2.238;κ_z;-0.01;0.00;-0.01;-0.1;2.2;-0.1;Beam | 2 - HEA 160 | L : 4.500 m
Total;;;;-0.01;0.00;0.13;0.0;2.3;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;;;-0.01;0.00;-0.08;-0.1;0.0;-0.1;Beam | 2 - HEA 160 | L : 4.500 m
;;;;;;;;;;
10;11;0.000;;-0.02;0.00;-0.09;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;;-0.02;0.00;-0.09;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.500;;-0.02;0.00;-0.09;0.0;-0.5;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.500;;-0.02;0.00;-0.09;0.0;-0.5;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;;-0.02;0.00;-0.09;0.0;-1.3;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;;-0.02;0.00;-0.09;0.0;-1.3;0.0;Beam | 1 - IPE 500 | L : 4.000 m
Extremes;12;4.000;ε_x;-0.02;0.00;-0.09;0.0;-1.3;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;ε_x;-0.02;0.00;-0.09;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;γ_xy;-0.02;0.00;-0.09;0.0;-1.3;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;γ_xy;-0.02;0.00;-0.09;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;3.500;γ_xz;-0.02;0.00;-0.09;0.0;-1.2;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;γ_xz;-0.02;0.00;-0.09;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;κ_x;-0.02;0.00;-0.09;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;κ_x;-0.02;0.00;-0.09;0.0;-1.3;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;κ_y;-0.02;0.00;-0.09;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;κ_y;-0.02;0.00;-0.09;0.0;-1.3;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;κ_z;-0.02;0.00;-0.09;0.0;-1.3;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;κ_z;-0.02;0.00;-0.09;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
Total;;;;-0.02;0.00;-0.09;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;;;-0.02;0.00;-0.09;0.0;-1.3;0.0;Beam | 1 - IPE 500 | L : 4.000 m
;;;;;;;;;;
11;12;0.000;;-0.01;0.00;0.10;0.1;-1.3;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;;-0.01;0.00;0.09;0.1;-0.7;0.0;Beam | 1 - IPE 500 | L : 1.650 m
Extremes;111;1.650;ε_x;-0.01;0.00;0.09;0.1;-0.7;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;ε_x;-0.01;0.00;0.10;0.1;-1.3;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;γ_xy;-0.01;0.00;0.09;0.1;-0.7;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;γ_xy;-0.01;0.00;0.10;0.1;-1.3;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;γ_xz;-0.01;0.00;0.10;0.1;-1.3;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;γ_xz;-0.01;0.00;0.09;0.1;-0.7;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;κ_x;-0.01;0.00;0.09;0.1;-0.7;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;κ_x;-0.01;0.00;0.10;0.1;-1.3;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;κ_y;-0.01;0.00;0.09;0.1;-0.7;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;κ_y;-0.01;0.00;0.10;0.1;-1.3;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;κ_z;-0.01;0.00;0.10;0.1;-1.3;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;κ_z;-0.01;0.00;0.09;0.1;-0.7;0.0;Beam | 1 - IPE 500 | L : 1.650 m
Total;;;;-0.01;0.00;0.10;0.1;-0.7;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;;;;-0.01;0.00;0.09;0.1;-1.3;0.0;Beam | 1 - IPE 500 | L : 1.650 m
;;;;;;;;;;
12;13;0.000;;-0.01;0.00;0.05;0.1;0.2;0.0;Beam | 1 - IPE 500 | L : 1.575 m
12;114;1.575;;-0.01;0.00;0.04;0.1;0.4;0.0;Beam | 1 - IPE 500 | L : 1.575 m
Extremes;114;1.575;ε_x;-0.01;0.00;0.04;0.1;0.4;0.0;Beam | 1 - IPE 500 | L : 1.575 m
12;13;0.000;ε_x;-0.01;0.00;0.05;0.1;0.2;0.0;Beam | 1 - IPE 500 | L : 1.575 m
12;114;1.575;γ_xy;-0.01;0.00;0.04;0.1;0.4;0.0;Beam | 1 - IPE 500 | L : 1.575 m
