Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
Extremes;12;4.000;N;-67.15;0.00;-46.20;0.00;-184.23;0.00;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;N;-70.61;0.00;-46.22;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;V_y;-67.15;0.00;-46.20;0.00;-184.23;0.00;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;V_y;-70.61;0.00;-46.22;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
10;;2.500;V_z;-68.41;0.00;-45.94;0.00;-115.16;0.00;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;V_z;-70.61;0.00;-46.22;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;M_T;-70.61;0.00;-46.22;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;M_T;-67.15;0.00;-46.20;0.00;-184.23;0.00;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;M_y;-70.61;0.00;-46.22;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;M_y;-67.15;0.00;-46.20;0.00;-184.23;0.00;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;M_z;-67.15;0.00;-46.20;0.00;-184.23;0.00;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;M_z;-70.61;0.00;-46.22;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
Total;;;;-67.15;0.00;-45.94;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
10;;;;-70.61;0.00;-46.22;0.00;-184.23;0.00;Beam | 1 - IPE 500 | L : 4.000 m
;;;;;;;;;;
11;12;0.000;;-51.67;0.00;56.19;0.00;-184.40;0.00;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;;-51.40;0.00;54.82;0.00;-92.79;0.00;Beam | 1 - IPE 500 | L : 1.650 m
Extremes;111;1.650;N;-51.40;0.00;54.82;0.00;-92.79;0.00;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;N;-51.67;0.00;56.19;0.00;-184.40;0.00;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;V_y;-51.40;0.00;54.82;0.00;-92.79;0.00;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;V_y;-51.67;0.00;56.19;0.00;-184.40;0.00;Beam | 1 - IPE 500 | L : 1.650 m
